,Genre Code,Release Year,Artist Gender,Artist Age,Signal Magnitude,Spectral Centroid,Spectral Flux,MFCC,Tempo,Pitch,Intensity
10cm_10월의 날씨,116,2015,0,35,0.207903,1459.532589,1.116869561,-7.63306876,135.9991776,5.75113,0.157431
10cm_길어야 5분,131,2016,0,35,0.262917,2015.199104,1.48614856,-0.815191815,161.4990234,10.7515,0.193573
10cm_내 눈에만 보여,24,2016,0,35,0.279939,2123.820966,1.748193974,1.205708572,107.6660156,9.18016,0.231046
10cm_니가 참 좋아 (Prod by 박근태),3,2016,0,35,0.287745,2653.857735,1.690932951,-1.354294785,135.9991776,11.2377,0.217003
10cm_봄이 좋냐,13,2016,0,35,0.25519,2124.031387,1.656138338,-1.793674058,95.703125,7.00607,0.249555
10cm_스토커,131,2014,0,35,0.250895,1784.158323,1.124861369,-4.663146784,135.9991776,9.32724,0.176842
"15& (박지민, 백예린)_사랑은 미친짓 (Feat 칸토 of 트로이)",42,2015,1,21,0.26602,2621.500418,1.482140759,0.530766715,161.4990234,17.9076,0.217162
2PM_우리집,3,2015,0,29,0.259922,2631.227028,1.599568568,7.734604147,172.265625,10.9149,0.380395
4minute (포미닛)_미쳐,15,2015,1,28,0.336314,2992.162624,1.506625496,6.983233047,89.10290948,25.9991,0.332015
7 Go Up_Yum-Yum (얌얌),3,2016,1,19,0.51522,3117.053623,1.515700702,4.981231695,161.4990234,49.9267,0.294422
Adam Lambert_Ghost Town,13,2015,0,36,0.276314,1829.305677,1.378952405,1.702326941,117.4538352,11.8515,0.272508
Adam Levine (Maroon 5) & R. City_Locked Away,17,2015,0,39,0.338267,2619.366349,1.559631969,1.043295109,123.046875,23.1293,0.227567
Adam Levine_Go Now (영화 '싱 스트리트' 삽입곡),13,2016,0,39,0.217098,1631.489141,0.909422965,-2.712553915,135.9991776,12.3005,0.136795
Adam Levine_Lost Stars,24,2014,0,39,0.415655,2138.14682,1.113746175,2.868282795,161.4990234,21.2786,0.244403
Adele_Hello,42,2015,1,30,0.325206,1749.519866,1.101396056,1.531634502,151.9990809,12.058,0.218379
Adele_Send My Love (To Your New Lover),42,2016,1,30,0.161505,1925.248703,1.714308064,2.767722502,161.4990234,8.03695,0.25361
Adele_When We Were Young,42,2016,1,30,0.259459,1752.48557,1.187251541,1.434343991,143.5546875,10.7029,0.209087
Afrojack_SummerThing! (Feat Mike Taylor),52,2015,0,31,0.317181,2615.713193,1.485082652,2.528407858,129.1992188,20.737,0.274208
Alan Walker_Faded,52,2016,0,21,0.280503,2405.892453,1.113032275,4.848715352,89.10290948,14.877,0.24573
Alan Walker_Sing Me To Sleep,52,2016,0,21,0.253055,2343.546303,1.205490154,4.726003006,89.10290948,10.9097,0.266539
Albert Kick & Tommie Marshall & Tony Martinez & Andrew_Tonight (Feat Inmagine),112,2015,0,33,0.356854,2741.1775,1.611707451,1.215448419,129.1992188,35.5784,0.294367
Alessia Cara_Here,17,2016,1,22,0.333934,2289.887199,1.418942644,5.411011375,117.4538352,15.3523,0.310037
Alesso_Sweet Escape (Feat Sirena),52,2015,0,27,0.412411,2970.175814,1.232485015,2.084858631,129.1992188,26.7725,0.26809
Amine_Caroline,15,2016,0,24,0.221016,2940.350024,2.082866765,-5.560436532,123.046875,21.394,0.19904
Annie Lennox_I Put A Spell On You (영화 '그레이의 50가지 그림자' OST),24,2015,1,64,0.22839,2227.019908,1.317539008,-3.204397041,172.265625,17.4847,0.184335
AOA_Excuse Me,3,2017,1,27,0.407816,3149.773129,1.520416619,4.270010465,123.046875,26.5231,0.313522
AOA_Good Luck,3,2016,1,27,0.451581,2809.965801,1.576746162,4.786384893,95.703125,41.9395,0.310343
AOA_심쿵해 (Heart Attack),3,2015,1,27,0.553643,2958.708909,1.321644251,4.804235873,123.046875,43.7733,0.328116
Apink (에이핑크)_FIVE,3,2017,1,25,0.527209,2902.974084,1.44544585,5.537256662,117.4538352,32.6234,0.31676
Apink (에이핑크)_Remember,3,2015,1,25,0.315401,2976.316942,1.442036317,4.140206779,117.4538352,30.1914,0.25666
Apink (에이핑크)_내가 설렐 수 있게,3,2016,1,25,0.415411,2812.794643,1.495907832,5.76849613,103.359375,23.8289,0.292888
Ariana Grande & Nathan Sykes_Over And Over Again,13,2016,1,25,0.233202,1610.416709,1.281386672,-3.032415836,129.1992188,9.52968,0.154419
Ariana Grande_Be Alright,98,2016,1,25,0.179331,2709.078069,1.608476688,-3.741366579,107.6660156,22.0078,0.18606
Ariana Grande_Dangerous Woman,13,2016,1,25,0.241114,2480.355834,1.371520659,1.955281244,135.9991776,18.9268,0.243572
Ariana Grande_Focus (Feat Jamie Foxx),3,2015,1,25,0.335424,3182.245021,1.55172694,2.053985321,99.38401442,43.2084,0.213527
Ariana Grande_Greedy,13,2016,1,25,0.254917,2775.247767,1.416027312,3.368909055,112.3471467,21.8407,0.248667
Ariana Grande_Into You,13,2016,1,25,0.232712,2534.437053,1.362237359,4.774968106,107.6660156,18.1615,0.24828
Ariana Grande_Knew Better & Forever Boy,13,2016,1,25,0.200932,1910.736212,1.409895283,2.594092927,143.5546875,11.0938,0.252871
Ariana Grande_Let Me Love You (Feat Lil Wayne),13,2016,1,25,0.106858,2248.232481,1.434821597,5.306761965,135.9991776,4.17023,0.270897
Ariana Grande_Moonlight,13,2016,1,25,0.179248,2222.44317,1.165707722,-3.12851116,103.359375,13.8799,0.17143
Ariana Grande_Side To Side (Feat Nicki Minaj),13,2016,1,25,0.231027,2575.043687,1.717291314,3.338622659,161.4990234,17.8474,0.257888
Ariana Grande_Sometimes,13,2016,1,25,0.287863,2471.9933,1.491821211,3.501305493,107.6660156,19.8641,0.23867
Ariana Grande_Touch It,13,2016,1,25,0.323721,2634.212601,1.25757363,4.291351389,135.9991776,20.0381,0.247883
Audien_Crazy Love (Feat Deb's Daughter),35,2016,0,26,0.570731,2151.732301,1.384406249,4.218204694,112.3471467,23.0144,0.364879
Avicii & Conrad Sewell_Taste The Feeling (Avicii & Conrad Sewell),52,2016,0,30,0.309228,2782.348879,1.389875192,4.944520615,89.10290948,19.7761,0.249405
Avicii_Waiting For Love,52,2015,0,30,0.416721,2465.29586,1.411591905,1.171093668,129.1992188,19.081,0.287376
Avril Lavigne_Fly,17,2015,1,34,0.33878,2198.550444,1.197155039,1.644529795,123.046875,20.5705,0.197506
Bastille_Good Grief,20,2016,0,31,0.351902,2504.150219,1.485461191,3.510131892,117.4538352,23.6319,0.247381
Beenzino_Aqua Man,15,2012,0,31,0.280672,1999.438676,1.565961091,2.352167788,95.703125,13.4538,0.215855
Beenzino_Boogie On & On,15,2012,0,31,0.319231,2042.938415,1.60465853,7.42205361,117.4538352,14.3647,0.320854
Beenzino_Break,15,2015,0,31,0.413766,2189.432237,1.780261269,7.218674447,129.1992188,13.7,0.329409
"Beenzino_Dali, Van, Picasso",15,2013,0,31,0.265403,1950.041109,1.716684271,3.860180388,86.1328125,11.3298,0.269714
