Title,Gender,Age,CurrentTime,PositiveDif,GenreCode
"Giorgio Moroder_Right Here, Right Now (Feat Kylie Minogue)",0,1,0.6,-0.021655794,3
"Giorgio Moroder_Right Here, Right Now (Feat Kylie Minogue)",0,2,0.6,0.074229616,3
"Giorgio Moroder_Right Here, Right Now (Feat Kylie Minogue)",0,3,0.6,0.026463179,3
"Giorgio Moroder_Right Here, Right Now (Feat Kylie Minogue)",0,4,0.6,-0.261934694,3
"Giorgio Moroder_Right Here, Right Now (Feat Kylie Minogue)",0,5,0.6,-0.017714247,3
"Giorgio Moroder_Right Here, Right Now (Feat Kylie Minogue)",1,1,0.6,-0.16672348,3
"Giorgio Moroder_Right Here, Right Now (Feat Kylie Minogue)",1,2,0.6,0.52600371,3
"Giorgio Moroder_Right Here, Right Now (Feat Kylie Minogue)",1,3,0.6,0.476870162,3
"Giorgio Moroder_Right Here, Right Now (Feat Kylie Minogue)",1,4,0.6,-0.244644721,3
"Giorgio Moroder_Right Here, Right Now (Feat Kylie Minogue)",1,5,0.6,-0.202808225,3
Gavin Turek_Don't Fight It,0,1,0.9,0.155997924,3
Gavin Turek_Don't Fight It,0,2,0.9,0.012343082,3
Gavin Turek_Don't Fight It,0,3,0.9,0.048369222,3
Gavin Turek_Don't Fight It,0,4,0.9,0.033336319,3
Gavin Turek_Don't Fight It,0,5,0.9,-0.021865577,3
Gavin Turek_Don't Fight It,1,1,0.9,-0.183211,3
Gavin Turek_Don't Fight It,1,2,0.9,0.102213982,3
Gavin Turek_Don't Fight It,1,3,0.9,0.104359658,3
Gavin Turek_Don't Fight It,1,4,0.9,0.232177561,3
Gavin Turek_Don't Fight It,1,5,0.9,0.063884811,3
Jessie J_Flashlight,0,1,0.9,0.220671063,3
Jessie J_Flashlight,0,2,0.9,0.078452826,3
Jessie J_Flashlight,0,3,0.9,0.189865494,3
Jessie J_Flashlight,0,4,0.9,0.029307682,3
Jessie J_Flashlight,0,5,0.9,0.026368982,3
Jessie J_Flashlight,1,1,0.9,0.003767596,3
Jessie J_Flashlight,1,2,0.9,0.2940574,3
Jessie J_Flashlight,1,3,0.9,0.164888005,3
Jessie J_Flashlight,1,4,0.9,0.070455758,3
Jessie J_Flashlight,1,5,0.9,0.275322378,3
It's_Show Time,0,1,0.9,-0.005151913,3
It's_Show Time,0,2,0.9,0.068141545,3
It's_Show Time,0,3,0.9,-0.183004012,3
It's_Show Time,0,4,0.9,-0.271242719,3
It's_Show Time,0,5,0.9,-0.270949355,3
It's_Show Time,1,1,0.9,0.02847443,3
It's_Show Time,1,2,0.9,-0.05709817,3
It's_Show Time,1,3,0.9,0.20405832,3
It's_Show Time,1,4,0.9,-0.069714311,3
It's_Show Time,1,5,0.9,-0.102908247,3
Jessica (제시카)_Fly (Feat Fabolous),0,1,0.9,-0.009109279,3
Jessica (제시카)_Fly (Feat Fabolous),0,2,0.9,0.021539745,3
Jessica (제시카)_Fly (Feat Fabolous),0,3,0.9,0.06419377,3
Jessica (제시카)_Fly (Feat Fabolous),0,4,0.9,-0.127622954,3
Jessica (제시카)_Fly (Feat Fabolous),0,5,0.9,-0.032536621,3
Jessica (제시카)_Fly (Feat Fabolous),1,1,0.9,-0.002608659,3
Jessica (제시카)_Fly (Feat Fabolous),1,2,0.9,-0.005921566,3
Jessica (제시카)_Fly (Feat Fabolous),1,3,0.9,0.155263489,3
Jessica (제시카)_Fly (Feat Fabolous),1,4,0.9,-0.145874651,3
Jessica (제시카)_Fly (Feat Fabolous),1,5,0.9,0.039001383,3
BIGBANG_우리 사랑하지 말아요,0,1,0.6,0.283134655,3
BIGBANG_우리 사랑하지 말아요,0,2,0.6,0.096966249,3
BIGBANG_우리 사랑하지 말아요,0,3,0.6,0.182415751,3
BIGBANG_우리 사랑하지 말아요,0,4,0.6,-0.416899664,3
BIGBANG_우리 사랑하지 말아요,0,5,0.6,-0.314800238,3
BIGBANG_우리 사랑하지 말아요,1,1,0.6,-0.012960215,3
BIGBANG_우리 사랑하지 말아요,1,2,0.6,0.057799881,3
BIGBANG_우리 사랑하지 말아요,1,3,0.6,0.09153732,3
BIGBANG_우리 사랑하지 말아요,1,4,0.6,-0.356392143,3
BIGBANG_우리 사랑하지 말아요,1,5,0.6,-0.011017338,3
Charli XCX_Doing It (Feat Rita Ora),0,1,0.6,-0.441459722,3
Charli XCX_Doing It (Feat Rita Ora),0,2,0.6,0.209171322,3
Charli XCX_Doing It (Feat Rita Ora),0,3,0.6,0.534072168,3
Charli XCX_Doing It (Feat Rita Ora),0,4,0.6,-0.571486088,3
Charli XCX_Doing It (Feat Rita Ora),0,5,0.6,-0.707102842,3
Charli XCX_Doing It (Feat Rita Ora),1,1,0.6,-0.50314709,3
Charli XCX_Doing It (Feat Rita Ora),1,2,0.6,0.469792157,3
Charli XCX_Doing It (Feat Rita Ora),1,3,0.6,0.44152449,3
Charli XCX_Doing It (Feat Rita Ora),1,4,0.6,-0.467491305,3
Charli XCX_Doing It (Feat Rita Ora),1,5,0.6,0.210226793,3
Carly Rae Jepsen_Last Christmas,0,1,0.9,0.016914154,3
Carly Rae Jepsen_Last Christmas,0,2,0.9,0.010915116,3
Carly Rae Jepsen_Last Christmas,0,3,0.9,0.422905313,3
Carly Rae Jepsen_Last Christmas,0,4,0.9,0.080329388,3
Carly Rae Jepsen_Last Christmas,0,5,0.9,0.346097932,3
Carly Rae Jepsen_Last Christmas,1,1,0.9,0.095557378,3
Carly Rae Jepsen_Last Christmas,1,2,0.9,0.251026309,3
Carly Rae Jepsen_Last Christmas,1,3,0.9,0.658744376,3
Carly Rae Jepsen_Last Christmas,1,4,0.9,0.127753636,3
Carly Rae Jepsen_Last Christmas,1,5,0.9,0.119736953,3
EXID_낮보다는 밤,0,1,0.9,0.095113846,3
EXID_낮보다는 밤,0,2,0.9,0.015480416,3
EXID_낮보다는 밤,0,3,0.9,0.219218851,3
EXID_낮보다는 밤,0,4,0.9,-0.374157453,3
EXID_낮보다는 밤,0,5,0.9,-0.479980954,3
EXID_낮보다는 밤,1,1,0.9,0.631449186,3
EXID_낮보다는 밤,1,2,0.9,0.327619166,3
